interval,flow_id,source_terminal,destination_terminal,offered_gbit
612,4001,1,3,3.006477107
613,4001,1,3,3.006477107
614,4001,1,3,3.006477107
615,4001,1,3,3.006477107
616,4001,1,3,3.006477107
617,4001,1,3,3.006477107
618,4001,1,3,3.006477107
619,4001,1,3,3.006477107
620,4001,1,3,2.997887173
621,4001,1,3,2.997887173
622,4001,1,3,2.997887173
623,4001,1,3,2.997887173
624,4001,1,3,2.997887173
625,4001,1,3,2.997887173
626,4001,1,3,2.997887173
627,4001,1,3,2.997887173
628,4001,1,3,2.997887173
629,4001,1,3,2.997887173
630,4001,1,3,3.015067042
631,4001,1,3,3.015067042
632,4001,1,3,3.015067042
633,4001,1,3,3.015067042
634,4001,1,3,3.015067042
635,4001,1,3,3.015067042
636,4001,1,3,3.015067042
637,4001,1,3,3.015067042
638,4001,1,3,3.015067042
639,4001,1,3,3.015067042
640,4001,1,3,3.032246911
641,4001,1,3,3.032246911
642,4001,1,3,3.032246911
643,4001,1,3,3.032246911
644,4001,1,3,3.032246911
645,4001,1,3,3.032246911
646,4001,1,3,3.032246911
647,4001,1,3,3.032246911
648,4001,1,3,3.032246911
649,4001,1,3,3.032246911
650,4001,1,3,3.032246911
651,4001,1,3,3.032246911
652,4001,1,3,3.032246911
653,4001,1,3,3.032246911
654,4001,1,3,3.032246911
655,4001,1,3,3.032246911
656,4001,1,3,3.032246911
657,4001,1,3,3.032246911
658,4001,1,3,3.032246911
659,4001,1,3,3.032246911
660,4001,1,3,3.040836846
661,4001,1,3,3.040836846
662,4001,1,3,3.040836846
663,4001,1,3,3.040836846
664,4001,1,3,3.040836846
665,4001,1,3,3.040836846
666,4001,1,3,3.040836846
667,4001,1,3,3.040836846
668,4001,1,3,3.040836846
669,4001,1,3,3.040836846
670,4001,1,3,2.963527434
671,4001,1,3,2.963527434
672,4001,1,3,2.963527434
673,4001,1,3,2.963527434
674,4001,1,3,2.963527434
675,4001,1,3,2.963527434
676,4001,1,3,2.963527434
677,4001,1,3,2.963527434
678,4001,1,3,2.963527434
679,4001,1,3,2.963527434
680,4001,1,3,2.954937500
681,4001,1,3,2.954937500
682,4001,1,3,2.954937500
683,4001,1,3,2.954937500
684,4001,1,3,2.954937500
685,4001,1,3,2.954937500
686,4001,1,3,2.954937500
687,4001,1,3,2.954937500
688,4001,1,3,2.954937500
689,4001,1,3,2.954937500
690,4001,1,3,2.946347565
691,4001,1,3,2.946347565
692,4001,1,3,2.946347565
693,4001,1,3,2.946347565
694,4001,1,3,2.946347565
695,4001,1,3,2.946347565
696,4001,1,3,2.946347565
697,4001,1,3,2.946347565
698,4001,1,3,2.946347565
699,4001,1,3,2.946347565
700,4001,1,3,2.946347565
701,4001,1,3,2.946347565
702,4001,1,3,2.946347565
703,4001,1,3,2.946347565
704,4001,1,3,2.946347565
705,4001,1,3,2.946347565
706,4001,1,3,2.946347565
707,4001,1,3,2.946347565
708,4001,1,3,2.946347565
709,4001,1,3,2.946347565
710,4001,1,3,2.929167696
711,4001,1,3,2.929167696
712,4001,1,3,2.929167696
713,4001,1,3,2.929167696
714,4001,1,3,2.929167696
715,4001,1,3,2.929167696
716,4001,1,3,2.929167696
717,4001,1,3,2.929167696
718,4001,1,3,2.929167696
719,4001,1,3,2.929167696
720,4001,1,3,2.911987827
721,4001,1,3,2.911987827
722,4001,1,3,2.911987827
723,4001,1,3,2.911987827
724,4001,1,3,2.911987827
725,4001,1,3,2.911987827
726,4001,1,3,2.911987827
727,4001,1,3,2.911987827
728,4001,1,3,2.911987827
729,4001,1,3,2.911987827
730,4001,1,3,2.911987827
731,4001,1,3,2.911987827
732,4001,1,3,2.911987827
733,4001,1,3,2.911987827
734,4001,1,3,2.911987827
735,4001,1,3,2.911987827
736,4001,1,3,2.911987827
737,4001,1,3,2.911987827
