interval,event,switch,switch_name,port,target_type,target_index,flow_id,source_terminal,destination_terminal,creation_interval,age_intervals,capacity_gbit,queued_before_gbit,send_gbit,remaining_after_gbit,dropped_gbit
7,allocate_send_buffered,1,S01,0,switch,0,50943,23,0,0,7,159.728,100,41.3587,0,0
7,allocate_send_buffered,1,S01,0,switch,0,50944,19,0,0,7,159.728,100,1.08667,0,0
7,allocate_send_buffered,3,S27,0,switch,0,50940,66,0,0,7,119.129,100,50.1556,7.27596e-15,0
7,allocate_send_buffered,3,S27,0,switch,0,50946,44,0,0,7,119.129,100,49.8444,0,0
7,stage_arrival,1,S01,0,switch,0,50947,12,0,0,7,159.728,0,0,53.2427,0
7,stage_arrival,0,S00,5,terminal,0,50944,19,0,0,7,1000,0,0,19.9093,0
7,stage_arrival,37,S32,0,switch,0,50941,110,0,0,7,103.31,0,0,34.4367,0
7,stage_arrival,37,S32,0,switch,0,50945,70,0,0,7,103.31,0,0,34.4367,0
7,stage_arrival,6,S02,0,switch,1,50947,12,0,0,7,138.732,6.77337,0,53.2427,0
7,stage_arrival,52,S30,2,switch,54,50942,105,0,0,7,164.752,0,0,34.4367,0
7,stage_arrival,0,S00,5,terminal,0,50941,110,0,0,7,1000,0,0,1.10333,0
7,stage_arrival,55,S60,1,switch,37,50941,110,0,0,7,243.133,0,0,34.4367,0
7,stage_arrival,1,S01,0,switch,0,50944,19,0,0,7,159.728,0,0,53.2427,0
7,stage_arrival,0,S00,5,terminal,0,50945,70,0,0,7,1000,0,0,1.10333,0
7,stage_arrival_coalesce,0,S00,5,terminal,0,50944,19,0,0,7,1000,0,0,53.3864,0
7,stage_arrival,54,S31,1,switch,37,50942,105,0,0,7,242.335,0,0,34.4367,0
