interval,event,terminal,terminal_name,attached_switch,peer_terminal,mbit
374,receive,1,VLAN4012.1,0,0,3006.48
374,receive,1,VLAN4012.1,0,0,3006.48
377,send,0,VLAN4012.0,0,1,3006.48
378,trace_offer,0,VLAN4012.0,0,1,3006.48
378,send,0,VLAN4012.0,0,1,3006.48
379,trace_offer,0,VLAN4012.0,0,1,3006.48
376,receive,1,VLAN4012.1,0,0,3006.48
376,receive,1,VLAN4012.1,0,0,3006.48
379,send,0,VLAN4012.0,0,1,3006.48
380,trace_offer,0,VLAN4012.0,0,1,2997.89
380,send,0,VLAN4012.0,0,1,2997.89
381,trace_offer,0,VLAN4012.0,0,1,2997.89
378,receive,1,VLAN4012.1,0,0,2997.89
378,receive,1,VLAN4012.1,0,0,3006.48
381,send,0,VLAN4012.0,0,1,2997.89
382,trace_offer,0,VLAN4012.0,0,1,2997.89
382,send,0,VLAN4012.0,0,1,2997.89
383,trace_offer,0,VLAN4012.0,0,1,2997.89
380,receive,1,VLAN4012.1,0,0,2997.89
383,send,0,VLAN4012.0,0,1,2997.89
384,trace_offer,0,VLAN4012.0,0,1,2997.89
381,receive,1,VLAN4012.1,0,0,2997.89
384,send,0,VLAN4012.0,0,1,2997.89
385,trace_offer,0,VLAN4012.0,0,1,2997.89
382,receive,1,VLAN4012.1,0,0,2997.89
385,send,0,VLAN4012.0,0,1,2997.89
386,trace_offer,0,VLAN4012.0,0,1,2997.89
383,receive,1,VLAN4012.1,0,0,2997.89
386,send,0,VLAN4012.0,0,1,2997.89
387,trace_offer,0,VLAN4012.0,0,1,2997.89
384,receive,1,VLAN4012.1,0,0,2997.89
387,send,0,VLAN4012.0,0,1,2997.89
388,trace_offer,0,VLAN4012.0,0,1,2997.89
385,receive,1,VLAN4012.1,0,0,2997.89
385,receive,1,VLAN4012.1,0,0,2997.89
388,send,0,VLAN4012.0,0,1,2997.89
389,trace_offer,0,VLAN4012.0,0,1,2997.89
389,send,0,VLAN4012.0,0,1,2997.89
390,trace_offer,0,VLAN4012.0,0,1,2997.89
387,receive,1,VLAN4012.1,0,0,2997.89
390,send,0,VLAN4012.0,0,1,2997.89
391,trace_offer,0,VLAN4012.0,0,1,2997.89
388,receive,1,VLAN4012.1,0,0,2997.89
391,send,0,VLAN4012.0,0,1,2997.89
392,trace_offer,0,VLAN4012.0,0,1,2997.89
389,receive,1,VLAN4012.1,0,0,2997.89
392,send,0,VLAN4012.0,0,1,2997.89
393,trace_offer,0,VLAN4012.0,0,1,2997.89
390,receive,1,VLAN4012.1,0,0,2997.89
390,receive,1,VLAN4012.1,0,0,2997.89
393,send,0,VLAN4012.0,0,1,2997.89
394,trace_offer,0,VLAN4012.0,0,1,2997.89
394,send,0,VLAN4012.0,0,1,2997.89
395,trace_offer,0,VLAN4012.0,0,1,2997.89
392,receive,1,VLAN4012.1,0,0,2997.89
395,send,0,VLAN4012.0,0,1,2997.89
396,trace_offer,0,VLAN4012.0,0,1,2997.89
393,receive,1,VLAN4012.1,0,0,2997.89
393,receive,1,VLAN4012.1,0,0,2997.89
396,send,0,VLAN4012.0,0,1,2997.89
397,trace_offer,0,VLAN4012.0,0,1,2997.89
394,receive,1,VLAN4012.1,0,0,2997.89
397,send,0,VLAN4012.0,0,1,2997.89
398,trace_offer,0,VLAN4012.0,0,1,2997.89
395,receive,1,VLAN4012.1,0,0,2997.89
398,send,0,VLAN4012.0,0,1,2997.89
399,trace_offer,0,VLAN4012.0,0,1,2997.89
399,send,0,VLAN4012.0,0,1,2997.89
400,trace_offer,0,VLAN4012.0,0,1,2989.3
397,receive,1,VLAN4012.1,0,0,2997.89
400,send,0,VLAN4012.0,0,1,2989.3
401,trace_offer,0,VLAN4012.0,0,1,2989.3
398,receive,1,VLAN4012.1,0,0,2997.89
401,send,0,VLAN4012.0,0,1,2989.3
402,trace_offer,0,VLAN4012.0,0,1,2989.3
399,receive,1,VLAN4012.1,0,0,2989.3
399,receive,1,VLAN4012.1,0,0,2989.3
402,send,0,VLAN4012.0,0,1,2989.3
403,trace_offer,0,VLAN4012.0,0,1,2989.3
