interval,flow_id,source_terminal,destination_terminal,offered_gbit
386,5001,0,1,2.808908612
387,5001,0,1,2.808908612
388,5001,0,1,2.808908612
389,5001,0,1,2.808908612
390,5001,0,1,2.826088481
391,5001,0,1,2.826088481
392,5001,0,1,2.826088481
393,5001,0,1,2.826088481
394,5001,0,1,2.826088481
395,5001,0,1,2.826088481
396,5001,0,1,2.826088481
397,5001,0,1,2.826088481
398,5001,0,1,2.826088481
399,5001,0,1,2.826088481
400,5001,0,1,2.800318677
401,5001,0,1,2.800318677
402,5001,0,1,2.800318677
403,5001,0,1,2.800318677
404,5001,0,1,2.800318677
405,5001,0,1,2.800318677
406,5001,0,1,2.800318677
407,5001,0,1,2.800318677
408,5001,0,1,2.800318677
409,5001,0,1,2.800318677
410,5001,0,1,2.783138808
411,5001,0,1,2.783138808
412,5001,0,1,2.783138808
413,5001,0,1,2.783138808
414,5001,0,1,2.783138808
415,5001,0,1,2.783138808
416,5001,0,1,2.783138808
417,5001,0,1,2.783138808
418,5001,0,1,2.783138808
419,5001,0,1,2.783138808
420,5001,0,1,2.783138808
421,5001,0,1,2.783138808
422,5001,0,1,2.783138808
423,5001,0,1,2.783138808
424,5001,0,1,2.783138808
425,5001,0,1,2.783138808
426,5001,0,1,2.783138808
427,5001,0,1,2.783138808
428,5001,0,1,2.783138808
429,5001,0,1,2.783138808
430,5001,0,1,2.791728742
431,5001,0,1,2.791728742
432,5001,0,1,2.791728742
433,5001,0,1,2.791728742
434,5001,0,1,2.791728742
435,5001,0,1,2.791728742
436,5001,0,1,2.791728742
437,5001,0,1,2.791728742
438,5001,0,1,2.791728742
439,5001,0,1,2.791728742
440,5001,0,1,2.808908612
441,5001,0,1,2.808908612
442,5001,0,1,2.808908612
443,5001,0,1,2.808908612
444,5001,0,1,2.808908612
445,5001,0,1,2.808908612
446,5001,0,1,2.808908612
447,5001,0,1,2.808908612
448,5001,0,1,2.808908612
449,5001,0,1,2.808908612
450,5001,0,1,2.808908612
451,5001,0,1,2.808908612
452,5001,0,1,2.808908612
453,5001,0,1,2.808908612
454,5001,0,1,2.808908612
455,5001,0,1,2.808908612
456,5001,0,1,2.808908612
457,5001,0,1,2.808908612
458,5001,0,1,2.808908612
459,5001,0,1,2.808908612
460,5001,0,1,2.808908612
461,5001,0,1,2.808908612
462,5001,0,1,2.808908612
463,5001,0,1,2.808908612
464,5001,0,1,2.808908612
465,5001,0,1,2.808908612
466,5001,0,1,2.808908612
467,5001,0,1,2.808908612
468,5001,0,1,2.808908612
469,5001,0,1,2.808908612
470,5001,0,1,2.808908612
471,5001,0,1,2.808908612
472,5001,0,1,2.808908612
473,5001,0,1,2.808908612
474,5001,0,1,2.808908612
475,5001,0,1,2.808908612
476,5001,0,1,2.808908612
477,5001,0,1,2.808908612
478,5001,0,1,2.808908612
479,5001,0,1,2.808908612
480,5001,0,1,2.808908612
481,5001,0,1,2.808908612
482,5001,0,1,2.808908612
483,5001,0,1,2.808908612
484,5001,0,1,2.808908612
485,5001,0,1,2.808908612
486,5001,0,1,2.808908612
487,5001,0,1,2.808908612
488,5001,0,1,2.808908612
489,5001,0,1,2.808908612
490,5001,0,1,2.808908612
491,5001,0,1,2.808908612
492,5001,0,1,2.808908612
493,5001,0,1,2.808908612
494,5001,0,1,2.808908612
495,5001,0,1,2.808908612
496,5001,0,1,2.808908612
497,5001,0,1,2.808908612
498,5001,0,1,2.808908612
499,5001,0,1,2.808908612
500,5001,0,1,2.765958939
501,5001,0,1,2.765958939
502,5001,0,1,2.765958939
503,5001,0,1,2.765958939
504,5001,0,1,2.765958939
505,5001,0,1,2.765958939
506,5001,0,1,2.765958939
507,5001,0,1,2.765958939
508,5001,0,1,2.765958939
509,5001,0,1,2.765958939
510,5001,0,1,2.783138808
511,5001,0,1,2.783138808
512,5001,0,1,2.783138808
513,5001,0,1,2.783138808
514,5001,0,1,2.783138808
515,5001,0,1,2.783138808
516,5001,0,1,2.783138808
517,5001,0,1,2.783138808
518,5001,0,1,2.783138808
519,5001,0,1,2.783138808
520,5001,0,1,2.774548873
521,5001,0,1,2.774548873
522,5001,0,1,2.774548873
523,5001,0,1,2.774548873
524,5001,0,1,2.774548873
525,5001,0,1,2.774548873
526,5001,0,1,2.774548873
527,5001,0,1,2.774548873
528,5001,0,1,2.774548873
529,5001,0,1,2.774548873
530,5001,0,1,2.757369004
531,5001,0,1,2.757369004
532,5001,0,1,2.757369004
533,5001,0,1,2.757369004
534,5001,0,1,2.757369004
535,5001,0,1,2.757369004
536,5001,0,1,2.757369004
537,5001,0,1,2.757369004
538,5001,0,1,2.757369004
539,5001,0,1,2.757369004
540,5001,0,1,2.774548873
541,5001,0,1,2.774548873
542,5001,0,1,2.774548873
543,5001,0,1,2.774548873
544,5001,0,1,2.774548873
545,5001,0,1,2.774548873
546,5001,0,1,2.774548873
547,5001,0,1,2.774548873
548,5001,0,1,2.774548873
549,5001,0,1,2.774548873
550,5001,0,1,2.774548873
551,5001,0,1,2.774548873
552,5001,0,1,2.774548873
553,5001,0,1,2.774548873
554,5001,0,1,2.774548873
555,5001,0,1,2.774548873
556,5001,0,1,2.774548873
557,5001,0,1,2.774548873
558,5001,0,1,2.774548873
559,5001,0,1,2.774548873
560,5001,0,1,2.791728742
561,5001,0,1,2.791728742
562,5001,0,1,2.791728742
563,5001,0,1,2.791728742
564,5001,0,1,2.791728742
565,5001,0,1,2.791728742
566,5001,0,1,2.791728742
567,5001,0,1,2.791728742
568,5001,0,1,2.791728742
569,5001,0,1,2.791728742
570,5001,0,1,2.800318677
571,5001,0,1,2.800318677
572,5001,0,1,2.800318677
573,5001,0,1,2.800318677
574,5001,0,1,2.800318677
575,5001,0,1,2.800318677
576,5001,0,1,2.800318677
577,5001,0,1,2.800318677
578,5001,0,1,2.800318677
579,5001,0,1,2.800318677
580,5001,0,1,2.800318677
581,5001,0,1,2.800318677
582,5001,0,1,2.800318677
583,5001,0,1,2.800318677
584,5001,0,1,2.800318677
585,5001,0,1,2.800318677
586,5001,0,1,2.800318677
587,5001,0,1,2.800318677
588,5001,0,1,2.800318677
589,5001,0,1,2.800318677
590,5001,0,1,2.791728742
591,5001,0,1,2.791728742
592,5001,0,1,2.791728742
593,5001,0,1,2.791728742
594,5001,0,1,2.791728742
595,5001,0,1,2.791728742
596,5001,0,1,2.791728742
597,5001,0,1,2.791728742
598,5001,0,1,2.791728742
599,5001,0,1,2.791728742
600,5001,0,1,2.783138808
601,5001,0,1,2.783138808
602,5001,0,1,2.783138808
603,5001,0,1,2.783138808
604,5001,0,1,2.783138808
605,5001,0,1,2.783138808
606,5001,0,1,2.783138808
607,5001,0,1,2.783138808
608,5001,0,1,2.783138808
609,5001,0,1,2.783138808
610,5001,0,1,2.757369004
610,5002,2,3,2.078764171
611,5001,0,1,2.757369004
611,5002,2,3,2.078764171
612,5001,0,1,2.757369004
612,5002,2,3,2.078764171
613,5001,0,1,2.757369004
613,5002,2,3,2.078764171
614,5001,0,1,2.757369004
614,5002,2,3,2.078764171
615,5001,0,1,2.757369004
615,5002,2,3,2.078764171
616,5001,0,1,2.757369004
616,5002,2,3,2.078764171
617,5001,0,1,2.757369004
617,5002,2,3,2.078764171
618,5001,0,1,2.757369004
618,5002,2,3,2.078764171
619,5001,0,1,2.757369004
619,5002,2,3,2.078764171
620,5001,0,1,2.774548873
620,5002,2,3,2.052994367
621,5001,0,1,2.774548873
621,5002,2,3,2.052994367
622,5001,0,1,2.774548873
622,5002,2,3,2.052994367
623,5001,0,1,2.774548873
623,5002,2,3,2.052994367
624,5001,0,1,2.774548873
624,5002,2,3,2.052994367
625,5001,0,1,2.774548873
625,5002,2,3,2.052994367
626,5001,0,1,2.774548873
626,5002,2,3,2.052994367
627,5001,0,1,2.774548873
627,5002,2,3,2.052994367
628,5001,0,1,2.774548873
628,5002,2,3,2.052994367
629,5001,0,1,2.774548873
629,5002,2,3,2.052994367
630,5001,0,1,2.757369004
630,5002,2,3,2.087354106
631,5001,0,1,2.757369004
631,5002,2,3,2.087354106
632,5001,0,1,2.757369004
632,5002,2,3,2.087354106
633,5001,0,1,2.757369004
633,5002,2,3,2.087354106
634,5001,0,1,2.757369004
634,5002,2,3,2.087354106
635,5001,0,1,2.757369004
635,5002,2,3,2.087354106
636,5001,0,1,2.757369004
636,5002,2,3,2.087354106
637,5001,0,1,2.757369004
637,5002,2,3,2.087354106
638,5001,0,1,2.757369004
638,5002,2,3,2.087354106
