interval,event,switch,switch_name,port,target_type,target_index,capacity_mbit,queued_before_mbit,sent_mbit,queued_after_mbit,shared_queued_before_mbit,shared_queued_after_mbit,shared_buffer_mbit,dropped_mbit,active_queue_entries
92,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.2435,0,0,0,909.28,0,0
92,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.1217,0,0,0,909.28,0,0
93,egress,2,STARLIGHT,1,switch,3,40000,0,31.1217,0,0,0,909.28,0,0
93,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,62.2435,0,0,0,909.28,0,0
94,egress,2,STARLIGHT,1,switch,3,40000,0,62.2435,0,0,0,909.28,0,0
94,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.1217,0,0,0,909.28,0,0
94,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.1217,0,0,0,909.28,0,0
95,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.1217,0,0,0,909.28,0,0
95,egress,2,STARLIGHT,1,switch,3,40000,0,31.1217,0,0,0,909.28,0,0
95,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,62.2435,0,0,0,909.28,0,0
96,egress,2,STARLIGHT,1,switch,3,40000,0,31.1217,0,0,0,909.28,0,0
96,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,31.1217,0,0,0,909.28,0,0
96,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.1217,0,0,0,909.28,0,0
97,egress,2,STARLIGHT,1,switch,3,40000,0,31.1217,0,0,0,909.28,0,0
97,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.0819,0,0,0,909.28,0,0
97,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.1217,0,0,0,909.28,0,0
98,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
98,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,31.1217,0,0,0,909.28,0,0
98,egress,2,STARLIGHT,1,switch,3,40000,0,25.0819,0,0,0,909.28,0,0
99,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.0819,0,0,0,909.28,0,0
99,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.0819,0,0,0,909.28,0,0
100,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.0819,0,0,0,909.28,0,0
100,egress,2,STARLIGHT,1,switch,3,40000,0,25.0819,0,0,0,909.28,0,0
101,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.0819,0,0,0,909.28,0,0
101,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,50.1639,0,0,0,909.28,0,0
101,egress,2,STARLIGHT,1,switch,3,40000,0,25.0819,0,0,0,909.28,0,0
102,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
102,egress,2,STARLIGHT,1,switch,3,40000,0,50.1639,0,0,0,909.28,0,0
102,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.0819,0,0,0,909.28,0,0
103,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,50.1639,0,0,0,909.28,0,0
103,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,50.1639,0,0,0,909.28,0,0
104,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
104,egress,2,STARLIGHT,1,switch,3,40000,0,50.1639,0,0,0,909.28,0,0
105,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.0819,0,0,0,909.28,0,0
105,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,50.1639,0,0,0,909.28,0,0
106,egress,2,STARLIGHT,1,switch,3,40000,0,25.0819,0,0,0,909.28,0,0
106,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,50.1639,0,0,0,909.28,0,0
107,egress,2,STARLIGHT,1,switch,3,40000,0,50.1639,0,0,0,909.28,0,0
107,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.0819,0,0,0,909.28,0,0
107,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.3336,0,0,0,909.28,0,0
108,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
108,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,50.1639,0,0,0,909.28,0,0
108,egress,2,STARLIGHT,1,switch,3,40000,0,25.3336,0,0,0,909.28,0,0
109,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.3336,0,0,0,909.28,0,0
109,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.3336,0,0,0,909.28,0,0
110,egress,2,STARLIGHT,1,switch,3,40000,0,25.3336,0,0,0,909.28,0,0
110,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,50.6672,0,0,0,909.28,0,0
111,egress,2,STARLIGHT,1,switch,3,40000,0,50.6672,0,0,0,909.28,0,0
111,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,25.3336,0,0,0,909.28,0,0
111,egress,3,LBNL_VLAN3001,2,terminal,7,20000,0,25.3336,0,0,0,909.28,0,0
112,egress,1,LBNL_VLAN3002,0,switch,2,40000,0,0,0,0,0,909.28,0,0
112,egress,2,STARLIGHT,1,switch,3,40000,0,25.3336,0,0,0,909.28,0,0
